date	United States	South Korea	Italy	China
2020-03-06	74.0	518.0	769.0	170.0
2020-03-07	105.0	483.0	778.0	101.0
2020-03-08	95.0	367.0	1247.0	46.0
2020-03-09	121.0	248.0	1492.0	45.0
2020-03-10	200.0	131.0	1797.0	20.0
2020-03-11	271.0	242.0	977.0	29.0
2020-03-12	287.0	114.0	2313.0	24.0
2020-03-13	351.0	110.0	2651.0	22.0
2020-03-14	511.0	107.0	2547.0	19.0
2020-03-15	777.0	76.0	3497.0	22.0
2020-03-16	823.0	74.0	2823.0	25.0
2020-03-17	887.0	84.0	4000.0	43.0
2020-03-18	1766.0	93.0	3526.0	23.0
2020-03-19	2988.0	152.0	4207.0	44.0
2020-03-20	4835.0	87.0	5322.0	99.0
2020-03-21	5374.0	147.0	5986.0	52.0
2020-03-22	7123.0	98.0	6557.0	65.0
2020-03-23	8459.0	64.0	5560.0	138.0
2020-03-24	11236.0	76.0	4789.0	69.0
2020-03-25	8789.0	100.0	5249.0	78.0
2020-03-26	13963.0	104.0	5210.0	102.0
2020-03-27	16797.0	91.0	6153.0	94.0
2020-03-28	18695.0	146.0	5959.0	119.0
2020-03-29	19979.0	105.0	5974.0	113.0
2020-03-30	18360.0	78.0	5217.0	98.0
2020-03-31	21595.0	125.0	4050.0	84.0
2020-04-01	24998.0	0.0	4053.0	54.0
2020-04-02	27103.0	190.0	4782.0	100.0
2020-04-03	28819.0	86.0	4668.0	70.0
2020-04-04	32425.0	94.0	4585.0	62.0
2020-04-05	34272.0	81.0	4805.0	48.0
2020-04-06	25398.0	47.0	4316.0	67.0
2020-04-07	30561.0	47.0	3599.0	56.0
2020-04-08	30613.0	53.0	3039.0	86.0
2020-04-09	33323.0	39.0	3836.0	86.0
2020-04-10	33901.0	27.0	4204.0	55.0
2020-04-11	35527.0	0.0	3951.0	79.0
2020-04-12	28391.0	62.0	4694.0	93.0
2020-04-13	27620.0	25.0	4092.0	112.0
2020-04-14	25023.0	27.0	3153.0	94.0
2020-04-15	26922.0	27.0	2972.0	49.0
2020-04-16	30148.0	22.0	2667.0	50.0
2020-04-17	31667.0	22.0	3786.0	352.0
2020-04-18	30833.0	18.0	3493.0	31.0
2020-04-19	32922.0	8.0	3491.0	18.0
2020-04-20	24601.0	13.0	3047.0	14.0
2020-04-21	28065.0	9.0	2256.0	32.0
2020-04-22	37289.0	11.0	2729.0	15.0
2020-04-23	17588.0	8.0	3370.0	12.0
2020-04-24	26543.0	6.0	2646.0	8.0
2020-04-25	21352.0	10.0	3021.0	15.0
2020-04-26	48529.0	10.0	2357.0	10.0
2020-04-27	26857.0	10.0	2324.0	3.0
2020-04-28	22541.0	14.0	1739.0	26.0
2020-04-29	24132.0	9.0	2091.0	2.0
2020-04-30	27326.0	4.0	2086.0	4.0
2020-05-01	29917.0	9.0	1872.0	12.0
2020-05-02	33955.0	6.0	1965.0	3.0
2020-05-03	29288.0	13.0	1900.0	2.0
2020-05-04	24972.0	8.0	1389.0	3.0
2020-05-05	22593.0	3.0	1221.0	2.0
2020-05-06	23841.0	2.0	1075.0	2.0
